commission_year,decommissionable,from_asset,initial_export_units,initial_import_units,milestone_year,to_asset
2050,false,NL_Balance,0.0,0.0,2050,NL_E_Demand
2050,false,NL_Solar,0.0,0.0,2050,NL_Balance
2050,false,NL_Wind_Onshore,0.0,0.0,2050,NL_Balance
2050,false,NL_Wind_Offshore,0.0,0.0,2050,NL_Balance
2050,false,NL_Coal,0.0,0.0,2050,NL_Balance
2050,false,NL_Nuclear,0.0,0.0,2050,NL_Balance
2050,false,NL_CCGT,0.0,0.0,2050,NL_Balance
2050,false,NL_OCGT,0.0,0.0,2050,NL_Balance
2050,false,NL_Wind_Onshore2,0.0,0.0,2050,NL_Balance
2050,false,NL_Wind_Offshore2,0.0,0.0,2050,NL_Balance
2050,false,NL_Coal2,0.0,0.0,2050,NL_Balance
2050,false,NL_Nuclear2,0.0,0.0,2050,NL_Balance
2050,false,NL_Battery,0.0,0.0,2050,NL_Balance
2050,false,NL_Balance,0.0,0.0,2050,NL_Battery
2050,false,BE_Balance,0.0,0.0,2050,BE_E_Demand
2050,false,BE_Solar,0.0,0.0,2050,BE_Balance
2050,false,BE_Wind_Onshore,0.0,0.0,2050,BE_Balance
2050,false,BE_Wind_Offshore,0.0,0.0,2050,BE_Balance
2050,false,BE_Coal,0.0,0.0,2050,BE_Balance
2050,false,BE_Nuclear,0.0,0.0,2050,BE_Balance
2050,false,BE_CCGT,0.0,0.0,2050,BE_Balance
2050,false,BE_OCGT,0.0,0.0,2050,BE_Balance
2050,false,BE_Wind_Onshore2,0.0,0.0,2050,BE_Balance
2050,false,BE_Wind_Offshore2,0.0,0.0,2050,BE_Balance
2050,false,BE_Coal2,0.0,0.0,2050,BE_Balance
2050,false,BE_Nuclear2,0.0,0.0,2050,BE_Balance
2050,false,BE_Battery,0.0,0.0,2050,BE_Balance
2050,false,BE_Balance,0.0,0.0,2050,BE_Battery
2050,false,DE_Balance,0.0,0.0,2050,DE_E_Demand
2050,false,DE_Solar,0.0,0.0,2050,DE_Balance
2050,false,DE_Wind_Onshore,0.0,0.0,2050,DE_Balance
2050,false,DE_Wind_Offshore,0.0,0.0,2050,DE_Balance
2050,false,DE_Coal,0.0,0.0,2050,DE_Balance
2050,false,DE_Nuclear,0.0,0.0,2050,DE_Balance
2050,false,DE_CCGT,0.0,0.0,2050,DE_Balance
2050,false,DE_OCGT,0.0,0.0,2050,DE_Balance
2050,false,DE_Wind_Onshore2,0.0,0.0,2050,DE_Balance
2050,false,DE_Wind_Offshore2,0.0,0.0,2050,DE_Balance
2050,false,DE_Coal2,0.0,0.0,2050,DE_Balance
2050,false,DE_Nuclear2,0.0,0.0,2050,DE_Balance
2050,false,DE_Battery,0.0,0.0,2050,DE_Balance
2050,false,DE_Balance,0.0,0.0,2050,DE_Battery
2050,false,FR_Balance,0.0,0.0,2050,FR_E_Demand
2050,false,FR_Solar,0.0,0.0,2050,FR_Balance
2050,false,FR_Wind_Onshore,0.0,0.0,2050,FR_Balance
2050,false,FR_Wind_Offshore,0.0,0.0,2050,FR_Balance
2050,false,FR_Coal,0.0,0.0,2050,FR_Balance
2050,false,FR_Nuclear,0.0,0.0,2050,FR_Balance
2050,false,FR_CCGT,0.0,0.0,2050,FR_Balance
2050,false,FR_OCGT,0.0,0.0,2050,FR_Balance
2050,false,FR_Wind_Onshore2,0.0,0.0,2050,FR_Balance
2050,false,FR_Wind_Offshore2,0.0,0.0,2050,FR_Balance
